time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Actual engine - percent torque (%)","Altitude (GPS) (feet)","Ambient air temperature (℉)","Average fuel consumption (MPG)","Average fuel consumption (total) (MPG)","Average fuel consumption 10 sec (MPG)","Average speed (mph)","Average speed (GPS) (mph)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (MPG)","Calculated instant fuel rate (gal./h)","Catalyst temperature Bank 1 Sensor 1 (℉)","Catalyst temperature Bank 1 Sensor 2 (℉)","Commanded EGR duty (%)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance to empty (miles)","Distance traveled since codes cleared (miles)","Distance traveled with MIL on (miles)","Distance travelled (miles)","Distance travelled (total) (miles)","EGR error (%)","Engine coolant temperature (℉)","Engine Exhaust Flow Rate (g/sec)","Engine Friction - Percent Torque (%)","Engine Fuel Rate (g/sec)","Engine reference torque (N⋅m)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Evap. system vapor pressure (Pa)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (gallon)","Fuel used (gallon)","Fuel used (total) (gallon)","Fuel used price ($)","Fuel used price (total) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Instant engine torque (based on fuel consumption) (N⋅m)","Intake air temperature (℉)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term secondary oxygen sensor trim Bank 1 (%)","MAF air flow rate (g/sec)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Power from MAF (hp)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Short term secondary oxygen sensor trim Bank 1 (%)","Speed (GPS) (mph)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle Fuel Rate (g/sec)","Vehicle Odometer Reading (miles)","Vehicle speed (mph)",
10:32:20.640,,,,,,,4326.13293594466,,,,,,17.8999454041207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5133652028307,,,,,,,
10:32:20.650,,,,,,,4315.14632482869,,,,,,17.9117080974666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4964011321344,,,,,,,
10:32:21.652,,,,,,,4321.6208658979,,,,,,18.8152646073793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3442553272397,,,,,,,
10:32:21.653,,,,,,,4321.6208658979,,,,,,18.8156374749718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3442553272397,,,,,,,
10:32:21.664,,,,,,,4315.14632482869,,,,,,18.8252107067266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3249552835288,,,,,,,
10:32:21.665,,,,,,,4315.14632482869,,,,,,18.8256247979697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3249552835288,,,,,,,
10:32:22.653,,,,,,,4322.08236709639,,,,,,19.4322618786664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9065362879781,,,,,,,
10:32:22.659,,,,,,,4314.36788281276,,,,,,19.4355061198888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8524675792511,,,,,,,
10:32:23.654,,,,,,,4322.57317887675,,,,,,19.8070649589818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3311676388565,,,,,,,
10:32:23.655,,,,,,,4322.57317887675,,,,,,19.8073563460465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3311676388565,,,,,,,
10:32:23.664,,,,,,,4314.73856676202,,,,,,19.8106302914102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0965996819389,,,,,,,
10:32:24.650,,,,,,,4324.186384105,,,,,,20.0833375890325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4575179979984,,,,,,,
10:32:24.662,,,,,,,4313.93477415885,,,,,,20.0863898131181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0699640750544,,,,,,,
10:32:25.661,,,,,,,4323.93191169381,,,,,,20.3540990296877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8562675249431,,,,,,,
10:32:25.662,,,,,,,4323.93191169381,,,,,,20.3542351124826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8562675249431,,,,,,,
10:32:25.670,,,,,,,4313.81771892693,,,,,,20.3560630811433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3404377505194,,,,,,,
10:32:26.647,,,,,,,4323.73618048077,,,,,,20.5926460268432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9046317662353,,,,,,,
10:32:26.648,,,,,,,4323.73618048077,,,,,,20.592769981015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9046317662353,,,,,,,
10:32:26.656,,,,,,,4313.81771892693,,,,,,20.5946609584388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6790471722078,,,,,,,
10:32:26.657,,,,,,,4313.81771892693,,,,,,20.5947680983738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6790471722078,,,,,,,
10:32:27.655,,,,,,,4325.00250456398,,,,,,20.8041218150835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7453888058236,,,,,,,
10:32:27.656,,,,,,,4325.00250456398,,,,,,20.8042247625162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7453888058236,,,,,,,
10:32:27.664,,,,,,,4312.44040613832,,,,,,20.8058781516462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8271947941272,,,,,,,
10:32:27.665,,,,,,,4312.44040613832,,,,,,20.8060800084769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8271947941272,,,,,,,
10:32:28.659,,,,,,,4321.99860727473,,,,,,21.0174776578343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.229519746435,,,,,,,
10:32:28.665,,,,,,,4316.91594724273,,,,,,21.0189176911761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5741770982572,,,,,,,
10:32:28.666,,,,,,,4316.91594724273,,,,,,21.0190731587851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5741770982572,,,,,,,
10:32:29.655,,,,,,,4321.96043484283,,,,,,21.3714384178824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7835949561215,,,,,,,
10:32:29.656,,,,,,,4321.96043484283,,,,,,21.3716843225644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7835949561215,,,,,,,
10:32:29.671,,,,,,,4318.12567693462,,,,,,21.377160205393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.996599428809,,,,,,,
10:32:29.672,,,,,,,4318.12567693462,,,,,,21.3774072072728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.996599428809,,,,,,,
10:32:30.669,,,,,,,4322.97771958953,,,,,,21.8160806699946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4149565584078,,,,,,,
